id_str,coor_lat,coor_long,coorpt,created,created_secs,geo_lat,geo_long,geo_type,bbox,bbox_type,bbox_lat1,bbox_long1,bbox_lat2,bbox_long2,bbox_full_name,bbox_city,bbox_state,bbox_name,bbox_place_type,timestamp_ms,user_geo_able,user_id,user_location
593482231059984385,None,None,None,Wed Apr 29 18:29:24 +0000 2015,1430350164.0,None,None,Point,"[[[-77.158594, 38.940225], [-77.158594, 39.022437], [-77.078411, 39.022437], [-77.078411, 38.940225]]]",Polygon,38.940225,-77.158594,39.022437,-77.078411,"Bethesda, MD",Bethesda,MD,Bethesda,city,1430332164908,True,350640211,"Bethesda, MD"
593482233056534528,None,None,None,Wed Apr 29 18:29:25 +0000 2015,1430350165.0,None,None,Point,"[[[-79.487651, 37.886607], [-79.487651, 39.723622], [-74.986286, 39.723622], [-74.986286, 37.886607]]]",Polygon,37.886607,-79.487651,39.723622,-74.986286,"Maryland, USA",None,Maryland,Maryland,admin,1430332165384,True,635653289,
593482236206395392,None,None,None,Wed Apr 29 18:29:26 +0000 2015,1430350166.0,None,None,Point,"[[[-75.788758, 38.451038], [-75.788758, 39.839007], [-74.984165, 39.839007], [-74.984165, 38.451038]]]",Polygon,38.451038,-75.788758,39.839007,-74.984165,"Delaware, USA",None,Delaware,Delaware,admin,1430332166135,True,2832909671,#brxkensxciety ✨
593482236697157638,None,None,None,Wed Apr 29 18:29:26 +0000 2015,1430350166.0,None,None,Point,"[[[-76.795559, 39.320502], [-76.795559, 39.369482], [-76.744784, 39.369482], [-76.744784, 39.320502]]]",Polygon,39.320502,-76.795559,39.369482,-76.744784,"Milford Mill, MD",Milford Mill,MD,Milford Mill,city,1430332166252,True,19241653,
593482236713897984,None,None,None,Wed Apr 29 18:29:26 +0000 2015,1430350166.0,None,None,Point,"[[[-83.67529, 36.540739], [-83.67529, 39.466012], [-75.16644, 39.466012], [-75.16644, 36.540739]]]",Polygon,36.540739,-83.67529,39.466012,-75.16644,"Virginia, USA",None,Virginia,Virginia,admin,1430332166256,True,266396202,VA ✈️ FL
593482236906844161,None,None,None,Wed Apr 29 18:29:26 +0000 2015,1430350166.0,None,None,Point,"[[[-80.519851, 39.719801], [-80.519851, 42.516072], [-74.689517, 42.516072], [-74.689517, 39.719801]]]",Polygon,39.719801,-80.519851,42.516072,-74.689517,"Pennsylvania, USA",None,Pennsylvania,Pennsylvania,admin,1430332166302,True,1707819416,•3/5• 
593482239234703360,None,None,None,Wed Apr 29 18:29:26 +0000 2015,1430350166.0,None,None,Point,"[[[-83.67529, 36.540739], [-83.67529, 39.466012], [-75.16644, 39.466012], [-75.16644, 36.540739]]]",Polygon,36.540739,-83.67529,39.466012,-75.16644,"Virginia, USA",None,Virginia,Virginia,admin,1430332166857,True,592269097,xo
593482239415050240,None,None,None,Wed Apr 29 18:29:26 +0000 2015,1430350166.0,None,None,Point,"[[[-76.976222, 39.448205], [-76.976222, 39.5541], [-76.857558, 39.5541], [-76.857558, 39.448205]]]",Polygon,39.448205,-76.976222,39.5541,-76.857558,"Finksburg, MD",Finksburg,MD,Finksburg,city,1430332166900,True,233052923,"Westminster, MD"
593482243592577026,None,None,None,Wed Apr 29 18:29:27 +0000 2015,1430350167.0,None,None,Point,"[[[-76.420402, 36.786146], [-76.420402, 36.897382], [-76.291434, 36.897382], [-76.291434, 36.786146]]]",Polygon,36.786146,-76.420402,36.897382,-76.291434,"Portsmouth, VA",Portsmouth,VA,Portsmouth,city,1430332167896,True,600508793,Paris ✈️
593482244024565761,None,None,None,Wed Apr 29 18:29:27 +0000 2015,1430350167.0,None,None,Point,"[[[-76.958123, 38.827518], [-76.958123, 38.868794], [-76.88434, 38.868794], [-76.88434, 38.827518]]]",Polygon,38.827518,-76.958123,38.868794,-76.88434,"Suitland, MD",Suitland,MD,Suitland,city,1430332167999,True,2616846540,
