id_str,coor_lat,coor_long,coorpt,created,created_secs,geo_lat,geo_long,geo_type,bbox,bbox_type,bbox_lat1,bbox_long1,bbox_lat2,bbox_long2,bbox_full_name,bbox_city,bbox_state,bbox_name,bbox_place_type,timestamp_ms,user_geo_able,user_id,user_location
594200578722570242,37.572035,-77.465823,Point,Fri May 01 18:03:52 +0000 2015,1430521432.0,37.572035,-77.465823,Point,"[[[-77.601044, 37.447046], [-77.601044, 37.61272], [-77.385297, 37.61272], [-77.385297, 37.447046]]]",Polygon,37.447046,-77.601044,37.61272,-77.385297,"Richmond, VA",Richmond,VA,Richmond,city,1430503432337,True,21538711,Down da way 
594200580794388481,38.029306,-78.476678,Point,Fri May 01 18:03:52 +0000 2015,1430521432.0,38.029306,-78.476678,Point,"[[[-78.528507, 38.009553], [-78.528507, 38.07052], [-78.446389, 38.07052], [-78.446389, 38.009553]]]",Polygon,38.009553,-78.528507,38.07052,-78.446389,"Charlottesville, VA",Charlottesville,VA,Charlottesville,city,1430503432831,True,154423738,"Charlottesville, VA"
594200588268793857,None,None,None,Fri May 01 18:03:54 +0000 2015,1430521434.0,None,None,Point,"[[[-78.028546, 38.445607], [-78.028546, 38.497639], [-77.972087, 38.497639], [-77.972087, 38.445607]]]",Polygon,38.445607,-78.028546,38.497639,-77.972087,"Culpeper, VA",Culpeper,VA,Culpeper,city,1430503434613,True,2294681649,
594200589258649602,None,None,None,Fri May 01 18:03:54 +0000 2015,1430521434.0,None,None,Point,"[[[-79.487651, 37.886607], [-79.487651, 39.723622], [-74.986286, 39.723622], [-74.986286, 37.886607]]]",Polygon,37.886607,-79.487651,39.723622,-74.986286,"Maryland, USA",None,Maryland,Maryland,admin,1430503434849,True,1643931498,
594200595927531520,None,None,None,Fri May 01 18:03:56 +0000 2015,1430521436.0,None,None,Point,"[[[-76.980974, 38.5673338], [-76.980974, 38.639709], [-76.85926, 38.639709], [-76.85926, 38.5673338]]]",Polygon,38.5673338,-76.980974,38.639709,-76.85926,"St Charles, MD",St Charles,MD,St Charles,city,1430503436439,True,2717371227,"My King, Ty"
594200597097766912,None,None,None,Fri May 01 18:03:56 +0000 2015,1430521436.0,None,None,Point,"[[[-76.711517, 39.197211], [-76.711517, 39.372215], [-76.529388, 39.372215], [-76.529388, 39.197211]]]",Polygon,39.197211,-76.711517,39.372215,-76.529388,"Baltimore, MD",Baltimore,MD,Baltimore,city,1430503436718,True,135162675,Washington DC
594200598452502528,None,None,None,Fri May 01 18:03:57 +0000 2015,1430521437.0,None,None,Point,"[[[-77.119401, 38.801826], [-77.119401, 38.9953797], [-76.909396, 38.9953797], [-76.909396, 38.801826]]]",Polygon,38.801826,-77.119401,38.9953797,-76.909396,"Washington, DC",Washington,DC,Washington,city,1430503437041,True,293794904,Washington DC 
594200599949901824,34.221378,-77.863904,Point,Fri May 01 18:03:57 +0000 2015,1430521437.0,34.221378,-77.863904,Point,"[[[-84.32187, 33.752879], [-84.32187, 36.588118], [-75.40012, 36.588118], [-75.40012, 33.752879]]]",Polygon,33.752879,-84.32187,36.588118,-75.40012,"North Carolina, USA",None,North Carolina,North Carolina,admin,1430503437398,True,299250458,
594200600696516608,38.463671,-78.617557,Point,Fri May 01 18:03:57 +0000 2015,1430521437.0,38.463671,-78.617557,Point,"[[[-83.67529, 36.540739], [-83.67529, 39.466012], [-75.16644, 39.466012], [-75.16644, 36.540739]]]",Polygon,36.540739,-83.67529,39.466012,-75.16644,"Virginia, USA",None,Virginia,Virginia,admin,1430503437576,True,976590698,va
594200602416152576,None,None,None,Fri May 01 18:03:57 +0000 2015,1430521437.0,None,None,Point,"[[[-80.519851, 39.719801], [-80.519851, 42.516072], [-74.689517, 42.516072], [-74.689517, 39.719801]]]",Polygon,39.719801,-80.519851,42.516072,-74.689517,"Pennsylvania, USA",None,Pennsylvania,Pennsylvania,admin,1430503437986,True,1301661986,
